|      | 日期         | 城市   |   AQI |   PM2_5 |   PM10 |   SO2 |   NO2 |   CO |    O3 | 质量等级   |   月份 | 月份名称   |
|-----:|:-----------|:-----|------:|--------:|-------:|------:|------:|-----:|------:|:-------|-----:|:-------|
|    0 | 2025-01-01 | 天津   |    92 |    68.8 |  112   |  14.8 |  33.5 | 0.72 |  68   | 良      |    1 | 1月     |
|    1 | 2025-01-02 | 天津   |    93 |    69.3 |  118.8 |  18.2 |  35.1 | 1.09 | 107.1 | 良      |    1 | 1月     |
|    2 | 2025-01-03 | 天津   |    91 |    61.9 |  132.1 |  18.6 |  42.4 | 0.73 |  84.7 | 良      |    1 | 1月     |
|    3 | 2025-01-04 | 天津   |    92 |    68.4 |  109.8 |  15.2 |  40.3 | 0.85 |  55.1 | 良      |    1 | 1月     |
|    4 | 2025-01-05 | 天津   |    95 |    70.8 |   77.6 |  15.4 |  37.5 | 1    |  98.2 | 良      |    1 | 1月     |
|    5 | 2025-01-06 | 天津   |   184 |   138.6 |  174.8 |  15   |  29   | 0.77 |  42.8 | 中度污染   |    1 | 1月     |
|    6 | 2025-01-07 | 天津   |   103 |    51.1 |  156   |  16.8 |  30.6 | 1.02 | 111.7 | 轻度污染   |    1 | 1月     |
|    7 | 2025-01-08 | 天津   |    87 |    64.3 |  108.8 |  18.1 |  39.4 | 1.2  |  89.2 | 良      |    1 | 1月     |
|    8 | 2025-01-09 | 天津   |   102 |    76.5 |   72.2 |  16.8 |  42.4 | 0.91 | 106.1 | 轻度污染   |    1 | 1月     |
|    9 | 2025-01-10 | 天津   |   111 |    83.6 |  109.4 |  18.5 |  29.3 | 1.05 |  45.3 | 轻度污染   |    1 | 1月     |
|   10 | 2025-01-11 | 天津   |   181 |   136.4 |  157.1 |  10.4 |  30.9 | 0.45 |  78.6 | 中度污染   |    1 | 1月     |
|   11 | 2025-01-12 | 天津   |   101 |    76.1 |  103.7 |  15.6 |  37.6 | 0.78 |  73.8 | 轻度污染   |    1 | 1月     |
|   12 | 2025-01-13 | 天津   |    87 |    59.7 |  124   |  13.1 |  37.2 | 0.9  |  58.7 | 良      |    1 | 1月     |
|   13 | 2025-01-14 | 天津   |    94 |    69.8 |  132.4 |  17   |  24.8 | 0.64 |  54.1 | 良      |    1 | 1月     |
|   14 | 2025-01-15 | 天津   |    88 |    65.4 |  118.2 |  16.9 |  37.1 | 0.89 |  87.1 | 良      |    1 | 1月     |
|   15 | 2025-01-16 | 天津   |    76 |    50.1 |  101.5 |  15.6 |  31.6 | 1.06 |  89.4 | 良      |    1 | 1月     |
|   16 | 2025-01-17 | 天津   |    88 |    38.5 |  126.4 |  17.4 |  47.1 | 0.47 | 102.6 | 良      |    1 | 1月     |
|   17 | 2025-01-18 | 天津   |    66 |    47.9 |   73.7 |  18.8 |  37.1 | 0.6  |  70.7 | 良      |    1 | 1月     |
|   18 | 2025-01-19 | 天津   |   139 |   106.2 |  135.9 |  15.5 |  38.1 | 0.87 |  77.9 | 轻度污染   |    1 | 1月     |
|   19 | 2025-01-20 | 天津   |    98 |    73.2 |   90.9 |  12.5 |  38.1 | 0.92 |  56.1 | 良      |    1 | 1月     |
|   20 | 2025-01-21 | 天津   |   108 |    81.8 |  102   |  10.8 |  26.3 | 0.97 | 109.3 | 轻度污染   |    1 | 1月     |
|   21 | 2025-01-22 | 天津   |    81 |    51.8 |  112.5 |  15.6 |  48.2 | 0.84 |  83.5 | 良      |    1 | 1月     |
|   22 | 2025-01-23 | 天津   |    74 |    53.9 |   98   |  16.2 |  23   | 0.91 |  95.8 | 良      |    1 | 1月     |
|   23 | 2025-01-24 | 天津   |    85 |    62.7 |   83.6 |  12.5 |  39.7 | 0.99 |  97   | 良      |    1 | 1月     |
|   24 | 2025-01-25 | 天津   |    85 |    60.6 |  120.9 |  17.5 |  38.3 | 0.72 | 110.3 | 良      |    1 | 1月     |
|   25 | 2025-01-26 | 天津   |   101 |    75.6 |   96.4 |  13.9 |  30.4 | 0.68 |  69.6 | 轻度污染   |    1 | 1月     |
|   26 | 2025-01-27 | 天津   |   177 |   133.7 |  134   |  10.2 |  38.2 | 0.77 |  97.7 | 中度污染   |    1 | 1月     |
|   27 | 2025-01-28 | 天津   |    96 |    72.1 |  111.5 |  18.9 |  31.1 | 0.83 |  85.3 | 良      |    1 | 1月     |
|   28 | 2025-01-29 | 天津   |    80 |    58.6 |  101   |  18.5 |  28.4 | 0.66 | 124.3 | 良      |    1 | 1月     |
|   29 | 2025-01-30 | 天津   |    87 |    64.8 |  100.8 |   8.9 |  36.2 | 0.71 |  71.9 | 良      |    1 | 1月     |
|   30 | 2025-01-31 | 天津   |    85 |    58.1 |  120.2 |  13.2 |  25.7 | 0.86 | 108.6 | 良      |    1 | 1月     |
|   31 | 2025-02-01 | 天津   |    76 |    48.4 |  102.3 |  13   |  31   | 0.81 |  94.4 | 良      |    2 | 2月     |
|   32 | 2025-02-02 | 天津   |   103 |    77.2 |  116.3 |  19.7 |  28.2 | 0.74 |  94   | 轻度污染   |    2 | 2月     |
|   33 | 2025-02-03 | 天津   |   104 |    77.9 |  109.6 |  14.4 |  29.8 | 0.42 |  90.2 | 轻度污染   |    2 | 2月     |
|   34 | 2025-02-04 | 天津   |    94 |    43.7 |  138.8 |  10.2 |  35   | 0.76 | 114.1 | 良      |    2 | 2月     |
|   35 | 2025-02-05 | 天津   |    78 |    57.7 |  106.3 |  17.2 |  27.6 | 0.57 |  95.1 | 良      |    2 | 2月     |
|   36 | 2025-02-06 | 天津   |    95 |    71.1 |  110.6 |  10.8 |  30.2 | 0.95 |  63.5 | 良      |    2 | 2月     |
|   37 | 2025-02-07 | 天津   |    85 |    39.5 |  119.6 |  13.7 |  27.9 | 0.69 | 113.4 | 良      |    2 | 2月     |
|   38 | 2025-02-08 | 天津   |    94 |    70.3 |   98.5 |  12.1 |  41.3 | 0.55 | 110.7 | 良      |    2 | 2月     |
|   39 | 2025-02-09 | 天津   |    89 |    65.8 |   84.2 |  12.6 |  33.4 | 0.73 | 103.2 | 良      |    2 | 2月     |
|   40 | 2025-02-10 | 天津   |   145 |   111.4 |  144.9 |  17.1 |  32.3 | 1    |  72.8 | 轻度污染   |    2 | 2月     |
|   41 | 2025-02-11 | 天津   |    79 |    58.1 |   87.1 |  18.8 |  35.4 | 0.86 |  76.2 | 良      |    2 | 2月     |
|   42 | 2025-02-12 | 天津   |    64 |    27.2 |   77.1 |  10.3 |  26.3 | 0.78 |  60.4 | 良      |    2 | 2月     |
|   43 | 2025-02-13 | 天津   |   112 |    84.3 |  102.2 |  16   |  36.3 | 0.47 | 103   | 轻度污染   |    2 | 2月     |
|   44 | 2025-02-14 | 天津   |    70 |    51.1 |   83   |  11.8 |  32.5 | 1.05 |  71   | 良      |    2 | 2月     |
|   45 | 2025-02-15 | 天津   |    93 |    69.3 |   99.2 |  11.9 |  19   | 0.6  |  64.9 | 良      |    2 | 2月     |
|   46 | 2025-02-16 | 天津   |    84 |    62.5 |   91.9 |  15.4 |  19.7 | 0.91 | 119.3 | 良      |    2 | 2月     |
|   47 | 2025-02-17 | 天津   |    99 |    73.9 |   94   |  10.8 |  25.5 | 0.65 | 110.7 | 良      |    2 | 2月     |
|   48 | 2025-02-18 | 天津   |    78 |    52.6 |  105.7 |  15.2 |  20.1 | 0.88 |  91.3 | 良      |    2 | 2月     |
|   49 | 2025-02-19 | 天津   |   193 |   144.9 |  109.9 |  15.9 |  27.5 | 0.97 |  95.4 | 中度污染   |    2 | 2月     |
|   50 | 2025-02-20 | 天津   |    93 |    69.5 |  106.8 |  12.4 |  21.9 | 0.83 |  55   | 良      |    2 | 2月     |
|   51 | 2025-02-21 | 天津   |    95 |    70.7 |  125.1 |  17.6 |  28.2 | 0.85 | 115.3 | 良      |    2 | 2月     |
|   52 | 2025-02-22 | 天津   |   101 |    76   |  100.4 |   9.7 |  38.6 | 0.68 |  86.8 | 轻度污染   |    2 | 2月     |
